MovieID,rating_count,rating_mean,rating_std,rating_min,rating_max,rating_median,Year,Title,movie_age,title_length,era,popularity_level
46,6558,3.8064958828911255,1.0430305146420358,1,5,4.0,1964,Rudolph the Red-Nosed Reindeer,42,30,vintage,very_high
47,2350,3.266382978723404,1.0908583829398377,1,5,3.0,1952,The Bad and the Beautiful,54,25,classic,high
48,3591,3.7109440267335003,1.0647504709507287,1,5,4.0,2001,Justice League,5,14,modern,high
49,231,3.6666666666666665,1.256865205552106,1,5,4.0,2003,Devo: The Complete Truth About De-evolution,3,43,modern,low
50,328,3.027439024390244,0.9779730782779014,1,5,3.0,1941,A Yank in the R.A.F.,65,20,classic,low
51,90,3.566666666666667,1.3824745766400843,1,5,4.0,2002,Jonah: A VeggieTales Movie: Bonus Material,4,42,modern,very_low
52,5147,3.7571400816009324,0.943859931632045,1,5,4.0,2002,The Weather Underground,4,23,modern,very_high
53,114,1.6754385964912282,0.9071555665154458,1,5,1.0,2003,The Bonesetter,3,14,modern,very_low
54,159,2.9874213836477987,1.0372030389932374,1,5,3.0,1952,We're Not Married,54,17,classic,very_low
55,2406,3.024522028262677,1.0854458065195394,1,5,3.0,1995,Jade,11,4,nineties,high
56,1833,3.6486633933442443,0.9911560960971881,1,5,4.0,2004,Carandiru,2,9,modern,high
57,3562,3.6785513756316677,1.035313209360639,1,5,4.0,1995,Richard III,11,11,nineties,high
58,17405,3.6120080436656132,0.9522285826761727,1,5,4.0,1996,Dragonheart,10,11,nineties,very_high
59,204,2.7892156862745097,1.0596408781699056,1,5,3.0,2003,Sex and the Beauties,3,20,modern,low
60,295,2.1491525423728812,1.083954225217081,1,5,2.0,1969,The Libertine,37,13,vintage,low
61,147,2.9523809523809526,1.2785551205744052,1,5,3.0,1999,Ricky Martin: One Night Only,7,28,nineties,very_low
62,290,3.6241379310344826,0.9983221815331126,1,5,4.0,1991,Ken Burns' America: Empire of the Air,15,37,nineties,low
63,184,3.25,0.9931459096297016,1,5,3.0,1943,Crash Dive,63,10,classic,low
64,95,2.4210526315789473,1.163075045313171,1,5,2.0,2001,Outside the Law,5,15,modern,very_low
65,258,2.3294573643410854,1.1314329677148074,1,5,2.0,2000,Lost in the Pershing Point Hotel,6,32,modern,low
66,166,2.2951807228915664,1.113379089728347,1,5,2.0,1989,Barbarian Queen 2,17,17,eighties,low
67,289,2.557093425605536,1.1075936731101212,1,5,3.0,1997,Vampire Journals,9,16,nineties,low
68,2216,4.14259927797834,1.1705449384339677,1,5,5.0,2004,Invader Zim,2,11,modern,high
69,116,3.293103448275862,1.4626791462441688,1,5,3.0,2003,WWE: Armageddon 2003,3,20,modern,very_low
70,343,2.7317784256559765,1.0859598594139344,1,5,3.0,1999,Tai Chi: The 24 Forms,7,21,nineties,low
71,1561,3.7700192184497117,0.9878871845377911,1,5,4.0,1995,Maya Lin: A Strong Clear Vision,11,31,nineties,high
72,179,3.1452513966480447,1.320162280812712,1,5,3.0,1974,"At Home Among Strangers, A Stranger Among His Own",32,49,vintage,low
73,747,3.891566265060241,1.0081549969865256,1,5,4.0,1954,Davy Crockett: 50th Anniversary Double Feature,52,46,classic,medium
74,388,3.185567010309278,0.9917478310316067,1,5,3.0,1999,6ixtynin9,7,9,nineties,medium
75,219,2.5707762557077625,1.0174012767663174,1,5,3.0,1997,Grind,9,5,nineties,low
76,2954,4.090385917400136,1.1437290498791546,1,5,4.0,1952,I Love Lucy: Season 2,54,21,classic,high
77,13598,2.852772466539197,1.126128681375756,1,5,3.0,1995,Congo,11,5,nineties,very_high
78,4850,2.9416494845360823,1.1380741570705746,1,5,3.0,1996,Jingle All the Way,10,18,nineties,very_high
79,3397,3.765381218722402,0.9621837940386067,1,5,4.0,1956,The Killing,50,11,classic,high
80,274,2.7992700729927007,1.0090430929466978,1,5,3.0,1979,Winter Kills,27,12,vintage,low
81,1249,3.4395516413130505,0.9974672047012055,1,5,3.0,1991,Antarctica: IMAX,15,16,nineties,high
82,119,3.042016806722689,0.9776741509715045,1,5,3.0,1951,The Frogmen,55,11,classic,very_low
83,18724,3.729331339457381,0.861325553148548,1,5,4.0,1983,Silkwood,23,8,eighties,very_high
84,2752,3.2212936046511627,1.0936238644750167,1,5,3.0,2002,The Powerpuff Girls Movie,4,25,modern,high
85,266,4.2518796992481205,0.967634852676683,1,5,5.0,2005,Elfen Lied,1,10,modern,low
86,176,1.9545454545454546,1.0892628270961544,1,5,2.0,1996,Iron Monkey 2,10,13,nineties,low
87,117,2.8119658119658117,1.1739384341169534,1,5,3.0,2002,Louder Than Bombs,4,17,modern,very_low
88,978,3.8353783231083844,1.1678462229379118,1,5,4.0,1998,Record of Lodoss War: Chronicles of the Heroic Knight,8,53,nineties,medium
89,878,2.6913439635535306,1.0415289032190131,1,5,3.0,2000,Chain of Command,6,16,modern,medium
90,625,3.496,1.0017932638971692,1,5,4.0,1951,The Lemon Drop Kid,55,18,classic,medium
91,567,3.8959435626102294,1.1924828377649563,1,5,4.0,2005,WWE: Royal Rumble 2005,1,22,modern,medium
92,161,3.5652173913043477,1.4696198857853182,1,5,4.0,2002,ECW: Cyberslam '99,4,18,modern,very_low
93,174,2.689655172413793,1.0838845237170969,1,5,3.0,2004,They Came Back,2,14,modern,low
94,342,3.6842105263157894,1.1688713467886092,1,5,4.0,2000,G3: Live in Concert,6,19,modern,low
95,935,2.5828877005347595,1.170353907568096,1,5,3.0,1985,Dona Herlinda and Her Son,21,25,eighties,medium
96,488,3.3688524590163933,1.089059422541104,1,5,3.0,2000,Inside the Space Station,6,24,modern,medium
97,11508,3.87182829336114,0.9004477673302741,1,5,4.0,2002,Mostly Martha,4,13,modern,very_high
98,130,3.9153846153846152,0.9885751659212403,1,5,4.0,1965,The Battle of Algiers: Bonus Material,41,37,vintage,very_low
99,126,2.4206349206349205,1.0533996362496019,1,5,2.0,1989,A Fishy Story,17,13,eighties,very_low
100,78,2.6538461538461537,1.182413590120605,1,5,3.0,1993,Sam the Iron Bridge,13,19,nineties,very_low
101,330,3.3727272727272726,1.1916050648436034,1,5,3.0,1997,Complete Shamanic Princess,9,26,nineties,low
102,330,2.7363636363636363,1.220473320366053,1,5,3.0,2004,Notre Musique,2,13,modern,low
103,209,3.6555023923444976,1.3430665475679797,1,5,4.0,1976,Sanford and Son: Season 6,30,25,vintage,low
104,3500,3.6977142857142855,1.0035919647684732,1,5,4.0,1965,The Great Race,41,14,vintage,high
105,192,3.1302083333333335,1.0123447244820987,1,5,3.0,2002,Obsessed,4,8,modern,low
106,940,4.097872340425532,1.0427475302299654,1,5,4.0,2004,Stevie Ray Vaughan and Double Trouble: Live at Montreux 1982 & 1985,2,67,modern,medium
107,829,3.3522316043425815,1.3054828504674785,1,5,4.0,2000,Magnolia: Bonus Material,6,24,modern,medium
108,19018,3.167315175097276,0.949079618610043,1,5,3.0,2004,Spartan,2,7,modern,very_high
109,545,2.677064220183486,0.9955445808261446,1,5,3.0,1996,No Way Back,10,11,nineties,medium
110,2159,3.0338119499768412,0.9482757699585583,1,5,3.0,1989,Scandal,17,7,eighties,high
111,30127,3.0828824642347397,0.9942081907404574,1,5,3.0,2003,Duplex (Widescreen),3,19,modern,very_high
112,239,3.00418410041841,1.1095381276553462,1,5,3.0,1993,The Eye of Vichy,13,16,nineties,low
113,1393,3.8851399856424984,1.0225975481469476,1,5,4.0,2000,Bruce Lee: A Warrior's Journey,6,30,modern,high
114,428,3.366822429906542,1.1628609620702561,1,5,3.0,1989,Dominion Tank Police Part 1 & 2,17,31,eighties,medium
115,666,3.539039039039039,1.1381854606497852,1,5,4.0,1973,Lord Peter Wimsey: Murder Must Advertise,33,40,vintage,medium
116,1126,3.539076376554174,1.052312010947162,1,5,4.0,2004,Bear Cub,2,8,modern,high
117,981,3.46177370030581,0.9999063801898428,1,5,3.0,1957,Silk Stockings,49,14,classic,medium
118,19240,3.432952182952183,1.0932295769159754,1,5,3.0,1985,Rambo: First Blood Part II,21,26,eighties,very_high
119,96,2.6979166666666665,1.1250243662078627,1,5,3.0,1999,Travel the World by Train: Africa,7,33,nineties,very_low
120,339,2.424778761061947,1.0917006146254604,1,5,2.0,2004,Plain Dirty,2,11,modern,low
121,99,3.6161616161616164,1.2347607444613176,1,5,4.0,2003,Beyonce: Live at Wembley,3,24,modern,very_low
122,3382,2.911886457717327,1.0734270064260278,1,5,3.0,2002,Cube 2: Hypercube,4,17,modern,high
123,276,2.8333333333333335,1.016828104420503,1,5,3.0,2000,Chain of Fools,6,14,modern,low
124,169,2.2662721893491122,1.0089414286391183,1,5,2.0,2000,Cold Blooded,6,12,modern,low
125,1729,3.3707345286292654,0.8960300711450505,1,5,3.0,1981,Nighthawks,25,10,eighties,high
126,1184,3.201858108108108,1.0951193931915264,1,5,3.0,2003,Vampire Effect (aka Twins Effect),3,33,modern,high
127,3014,2.630391506303915,1.1102898229202929,1,5,3.0,1987,Fatal Beauty,19,12,eighties,high
128,417,3.2158273381294964,1.301418918290896,1,5,3.0,1985,Mr. Vampire,21,11,eighties,medium
129,756,2.1481481481481484,1.0519029790626158,1,5,2.0,2003,Darkwolf,3,8,modern,medium
130,86,2.2325581395348837,1.0366736238866987,1,5,2.0,1999,Drowning on Dry Land,7,20,nineties,very_low
131,705,2.6950354609929077,1.091959654256888,1,5,3.0,2002,Arachnid,4,8,modern,medium
132,830,3.0746987951807228,1.2964499521874706,1,5,3.0,1981,Lucio Fulci: The Beyond,25,23,eighties,medium
133,2563,3.737807257120562,1.3798209045537915,1,5,4.0,2003,Viva La Bam: Season 1,3,21,modern,high
134,99,2.1313131313131315,1.1486146460105282,1,5,2.0,1996,Spirit Lost,10,11,nineties,very_low
135,384,4.138020833333333,1.195820502079673,1,5,5.0,1998,GTO: Great Teacher Onizuka: Set 2,8,33,nineties,medium
136,120,2.975,1.0163578077022437,1,5,3.0,1927,Cat and the Canary,79,18,classic,very_low
137,204,2.392156862745098,1.070489623670481,1,5,2.0,1998,Naked Lies,8,10,nineties,low
138,6007,3.9422340602630266,1.1811424296189525,1,5,4.0,1995,Star Trek: Voyager: Season 1,11,28,nineties,very_high
139,96,2.5104166666666665,1.1424331528680047,1,5,2.0,2001,Allergies: A Natural Approach,5,29,modern,very_low
140,119,2.5294117647058822,1.0562447826509573,1,5,3.0,1993,Lost in the Wild,13,16,nineties,very_low
141,126,2.9761904761904763,0.9671755639120395,1,5,3.0,2004,Goddess of Mercy,2,16,modern,very_low
142,326,2.8098159509202456,1.1505297628712081,1,5,3.0,2000,The Tricky Master,6,17,modern,low
143,38362,3.853031645899588,0.9218772863120186,1,5,4.0,1997,The Game,9,8,nineties,very_high
144,289,3.2006920415224913,1.2752448860574226,1,5,3.0,2000,Deepak Chopra: The Way of the Wizard & Alchemy,6,46,modern,low
145,455,3.074725274725275,1.1140466189947802,1,5,3.0,1978,Get Out Your Handkerchiefs,28,26,vintage,medium
146,366,2.420765027322404,1.1458109358881847,1,5,2.0,1988,Cannibal Women in the Avocado Jungle of Death,18,45,eighties,medium
147,131,2.16793893129771,0.8607033953130802,1,5,2.0,1992,Where Sleeping Dogs Lie,14,23,nineties,very_low
148,22194,3.304947283049473,1.0764101875759624,1,5,3.0,2001,Sweet November,5,14,modern,very_high
149,62,3.0161290322580645,1.4428107300508504,1,5,3.0,2005,The Edward R. Murrow Collection,1,31,modern,very_low
150,265,2.883018867924528,1.0541648728676682,1,5,3.0,2001,Firetrap,5,8,modern,low
151,176,1.9545454545454546,0.9610600208292732,1,5,2.0,2005,Sleepover Nightmare,1,19,modern,low
152,9162,3.9340755293604017,0.9098774896352396,1,5,4.0,1995,A Little Princess,11,17,nineties,very_high
153,321,2.7476635514018692,1.1572607037520097,1,5,3.0,2002,MTV Yoga,4,8,modern,low
154,158,2.9430379746835444,1.1742658413087992,1,5,3.0,2000,Demon Warrior Koji,6,18,modern,very_low
155,980,3.5969387755102042,0.9713941290535384,1,5,4.0,1975,The Strongest Man in the World,31,30,vintage,medium
156,8179,3.495170558748013,1.0238390604728276,1,5,4.0,1992,Husbands and Wives,14,18,nineties,very_high
157,705,3.3787234042553194,1.12302911392166,1,5,3.0,2004,Laird: White Knuckle Extreme,2,28,modern,medium
158,374,2.657754010695187,0.9826818278139551,1,5,3.0,2004,A Killer Within,2,15,modern,medium
159,164,3.932926829268293,1.2636061821510107,1,5,4.0,1971,Gentlemen of Fortune,35,20,vintage,low
160,899,3.007786429365962,1.248136916688247,1,5,3.0,2000,Gormenghast,6,11,modern,medium
161,649,3.8536209553158707,0.9726935292179227,1,5,4.0,1939,Ninotchka,67,9,classic,medium
162,474,2.959915611814346,1.1358453247441185,1,5,3.0,1968,John Cleese on How to Irritate People,38,37,vintage,medium
163,193,2.378238341968912,1.3451080367008579,1,5,2.0,2002,MTV: Making the Band 2: Best of Season 1,4,40,modern,low
164,652,2.6273006134969323,1.070792268152754,1,5,3.0,2003,One Last Dance,3,14,modern,medium
165,4588,3.9169572798605055,1.0080730077385645,1,5,4.0,1982,Richard Pryor: Live on the Sunset Strip,24,39,eighties,very_high
166,9435,3.556332803391627,0.9491418032670704,1,5,4.0,1980,Fame,26,4,eighties,very_high
167,9151,4.0922303573379954,0.9204511591811344,1,5,4.0,2004,The Chorus,2,10,modern,very_high
168,1353,3.242424242424242,1.2023414190372796,1,5,3.0,1983,Smokey and the Bandit Part 3,23,28,eighties,high
169,335,3.388059701492537,1.1627350561483552,1,5,3.0,2004,Cartoon Network Halloween: 9 Creepy Cartoon Capers,2,50,modern,low
170,215,3.181395348837209,1.2111737980724084,1,5,3.0,1972,Tomorrow,34,8,vintage,low
171,6190,3.7424878836833604,0.9402513807522477,1,5,4.0,1957,Funny Face,49,10,classic,very_high
172,322,3.127329192546584,1.0586823984980995,1,5,3.0,2003,Jack,3,4,modern,low
173,2236,3.538908765652952,1.010817317737541,1,5,4.0,1968,The Devil's Brigade,38,19,vintage,high
174,191,3.319371727748691,1.2386714542676465,1,5,3.0,1968,Adam-12: Season 1,38,17,vintage,low
175,90450,4.003847429519071,1.0188152490286297,1,5,4.0,1992,Reservoir Dogs,14,14,nineties,very_high
176,210,3.2666666666666666,1.0237997212436136,1,5,3.0,2004,The History Channel Presents: Troy: Unearthing the Legend,2,57,modern,low
177,241,2.680497925311203,1.021433511151857,1,5,3.0,2002,Pressure,4,8,modern,low
178,1931,3.372863801139306,0.9972859706959656,1,5,3.0,1996,Regular Guys,10,12,nineties,high
179,286,2.458041958041958,0.9751230304680198,1,5,2.0,2003,Bollywood Bound,3,15,modern,low
180,2418,3.833746898263027,1.033402871522231,1,5,4.0,2002,Scratch,4,7,modern,high
181,3558,2.6000562113546937,0.9165151372669161,1,5,3.0,2004,The Last Shot,2,13,modern,high
182,234,3.0811965811965814,1.217640836135669,1,5,3.0,2001,Moby: Play,5,10,modern,low
183,163,3.0122699386503067,1.082907209990201,1,5,3.0,2005,IFilm: Deranged,1,15,modern,low
184,399,3.338345864661654,1.0506319087650384,1,5,3.0,2004,Billy Blanks: Tae Bo: Cardio Circuit 1,2,38,modern,medium
185,2297,3.0574662603395732,1.1477167254583576,1,5,3.0,1985,Missing in Action 2: The Beginning / Missing in Action 3: Braddock,21,66,eighties,high
186,291,3.3780068728522337,0.8229870824524742,1,5,3.0,1950,Panic in the Streets,56,20,classic,low
187,20049,3.012170183051524,1.1508140720804418,1,5,3.0,2002,Death to Smoochy,4,16,modern,very_high
188,2549,2.7618673989799922,1.03859083510083,1,5,3.0,2005,Dead Birds,1,10,modern,high
189,14137,3.346466718540001,0.9951426318423778,1,5,3.0,1982,Airplane II: The Sequel,24,23,eighties,very_high
190,104,2.0961538461538463,0.8759929818536838,1,5,2.0,1989,Blood and Sand,17,14,eighties,very_low
191,98720,3.932202188006483,0.8928857714763253,1,5,4.0,2003,X2: X-Men United,3,16,modern,very_high
192,275,3.2,1.2556441915472807,1,5,3.0,2003,The SoulTaker,3,13,modern,low
193,121,2.975206611570248,1.411044588932583,1,5,3.0,2005,Marilyn Manson: Fear of a Satanic Planet,1,40,modern,very_low
194,646,3.134674922600619,1.2533881410582048,1,5,3.0,1996,Arliss: The Best of Arliss,10,26,nineties,medium
195,185,3.2972972972972974,1.0390438974925789,1,5,3.0,2004,Chasing Freedom,2,15,modern,low
196,154,3.4675324675324677,1.2740180438530506,1,5,4.0,1992,Peter Tosh: Stepping Razor: Red X,14,33,nineties,very_low
197,81260,3.478931823775535,0.9909752336893163,1,5,4.0,2004,Taking Lives,2,12,modern,very_high
198,194,3.082474226804124,1.1442136752221859,1,5,3.0,1997,Gupt,9,4,nineties,low
199,35509,3.8931820101945984,1.0016017273264304,1,5,4.0,1978,The Deer Hunter,28,15,vintage,very_high
200,129,3.007751937984496,1.0932757831327355,1,5,3.0,1964,The Fall of the Roman Empire,42,28,vintage,very_low
201,2724,3.4174008810572687,0.9843459286120575,1,5,3.0,2001,Home Movie,5,10,modern,high
202,382,3.1047120418848166,1.0446859884674833,1,5,3.0,2001,Ruby's Bucket of Blood,5,22,modern,medium
203,96,3.15625,1.3324147054758968,1,5,3.0,1997,Sports Illustrated Swimsuit Edition: 1997,9,41,nineties,very_low
204,230,2.708695652173913,1.2529138242803124,1,5,3.0,2002,Venus Boyz,4,10,modern,low
205,513,3.3021442495126707,1.1094125357431013,1,5,3.0,2004,Troy: Bonus Material,2,20,modern,medium
206,1096,3.8585766423357666,1.1124367016262793,1,5,4.0,2004,Unconstitutional: The War on Our Civil Liberties,2,48,modern,high
207,258,2.86046511627907,1.1382571567135076,1,5,3.0,2001,Denise Austin: Ultimate Fat Burner,5,34,modern,low
208,2196,3.3588342440801457,1.37223337165039,1,5,4.0,1947,The Three Stooges: Sing a Song of Six Pants,59,43,classic,high
209,4373,4.160759204207638,1.0649092113498033,1,5,4.0,1996,Star Trek: Deep Space Nine: Season 5,10,36,nineties,very_high
210,687,3.151382823871907,1.1694957837536961,1,5,3.0,2001,Onmyoji,5,7,modern,medium
211,654,3.555045871559633,1.059860972581021,1,5,4.0,2004,The Agronomist,2,14,modern,medium
212,890,2.7786516853932586,1.2173263507969987,1,5,3.0,1982,Querelle,24,8,eighties,medium
213,3482,3.4709936817920735,0.9718192930034187,1,5,4.0,2001,Dinner Rush,5,11,modern,high
214,124,2.9193548387096775,1.3650502488952256,1,5,3.0,2002,Read-Along: Beauty and the Beast,4,32,modern,very_low
215,5817,4.062575210589651,1.0668203588312044,1,5,4.0,1998,That '70s Show: Season 1,8,24,nineties,very_high
216,8895,3.218212478920742,0.9557002113150722,1,5,3.0,2000,Impostor,6,8,modern,very_high
217,425,2.9529411764705884,0.9628216486930532,1,5,3.0,1988,Cherry 2000,18,11,eighties,medium
218,115,3.226086956521739,1.263945851363599,1,5,3.0,1983,Triumph: Live at the US Festival,23,32,eighties,very_low
219,111,2.6036036036036037,1.038173915008982,1,5,3.0,1995,Neon Bible,11,10,nineties,very_low
220,221,3.257918552036199,1.3985359918889477,1,5,3.0,1983,Winston Churchill: The Wilderness Years,23,39,eighties,low
221,161,3.4347826086956523,1.2388634342394858,1,5,4.0,2005,Voyage to the Planets and Beyond,1,32,modern,very_low
222,99,2.606060606060606,1.2439090935531096,1,5,2.0,1998,Yellow,8,6,nineties,very_low
223,24125,4.2111917098445595,1.027538616930263,1,5,5.0,2003,Chappelle's Show: Season 1,3,26,modern,very_high
224,1086,3.8314917127071824,0.9407140064157338,1,5,4.0,1999,Midsomer Murders: Blood Will Out,7,32,nineties,high
225,7395,2.733739012846518,1.0866398016203997,1,5,3.0,2004,The Cookout,2,11,modern,very_high
226,189,2.4444444444444446,1.1124696186783125,1,5,2.0,1996,Henry: Portrait of a Serial Killer 2,10,36,nineties,low
227,1330,3.417293233082707,1.1796500787229547,1,5,3.0,2001,The Carol Burnett Show: Show Stoppers,5,37,modern,high
228,95,2.831578947368421,0.9637320142533152,1,5,3.0,1979,Butch and Sundance: The Early Days,27,34,vintage,very_low
229,652,3.831288343558282,1.1556590992142264,1,5,4.0,2003,Peter Gabriel: Growing Up Live,3,30,modern,medium
230,126,3.0952380952380953,1.2676186898500443,1,5,3.0,1987,Unsolved Mysteries: Psychics,19,28,eighties,very_low
231,768,2.9427083333333335,1.1641534051850724,1,5,3.0,2002,Marooned in Iraq,4,16,modern,medium
232,4976,3.182676848874598,0.923935948569974,1,5,3.0,1989,Gross Anatomy,17,13,eighties,very_high
233,418,3.2416267942583734,1.0161710398382766,1,5,3.0,1971,Chato's Land,35,12,vintage,medium
234,97,2.9690721649484537,1.0940521796611464,1,5,3.0,1921,Animation Legend: Winsor McCay,85,30,classic,very_low
235,442,3.024886877828054,0.9168691728621259,1,5,3.0,1996,Unhook the Stars,10,16,nineties,medium
236,125,2.32,1.0286226305740271,1,5,2.0,1998,Cartoon Crazys Sci-Fi,8,21,nineties,very_low
237,348,3.3994252873563218,1.1202612461080756,1,5,3.0,1918,Broken Blossoms,88,15,classic,low
238,2335,3.6783725910064238,1.1087905002936693,1,5,4.0,1976,Led Zeppelin: The Song Remains the Same,30,39,vintage,high
239,2190,3.7680365296803653,1.0098108406009358,1,5,4.0,2004,Winnie the Pooh: Springtime with Roo,2,36,modern,high
240,5184,3.9484953703703702,0.8755526094780933,1,5,4.0,1942,Woman of the Year,64,17,classic,very_high
241,43122,4.157900839478688,0.8428343439335915,1,5,4.0,1959,North by Northwest,47,18,classic,very_high
242,2375,3.911157894736842,1.199946347401656,1,5,4.0,1995,Neon Genesis Evangelion: The End of Evangelion,11,46,nineties,high
243,119,3.0252100840336134,1.0533416146652455,1,5,3.0,1962,Pressure Point,44,14,vintage,very_low
244,105,3.8666666666666667,1.1934651123342375,1,5,4.0,2004,Stellvia,2,8,modern,very_low
245,91,2.78021978021978,1.218397835065905,1,5,3.0,2002,Road Dogz,4,9,modern,very_low
246,431,3.1160092807424595,0.8972821183516744,1,5,3.0,1968,The Boston Strangler,38,20,vintage,medium
247,653,3.0321592649310873,1.1724892607697173,1,5,3.0,1994,Oleanna,12,7,nineties,medium
248,6161,3.6333387437104365,1.3270849940754754,1,5,4.0,2001,Michael Moore's The Awful Truth: Season 2,5,41,modern,very_high
249,197,3.182741116751269,1.033671186312665,1,5,3.0,1958,The Hunters,48,11,classic,low
250,773,3.4385510996119018,1.050740657372899,1,5,3.0,1966,Cast a Giant Shadow,40,19,vintage,medium
251,1204,3.8803986710963456,0.963497287476268,1,5,4.0,2000,Midsomer Murders: Strangler's Wood,6,34,modern,high
252,24387,3.3904539303727397,0.9645163946045477,1,5,3.0,2002,Stuart Little 2,4,15,modern,very_high
253,5050,4.0679207920792075,0.9614992057105737,1,5,4.0,1935,A Night at the Opera,71,20,classic,very_high
